Medical Code,Procedure Name,Cost
2548A,,8484.24
24361,,6274.8
80609,,1450.14
2200B,,4116.36
9965B,,114.44
9721T,,352.1
70075,,8511.4
82258,,298.96
21978,,446.48
9629P,,249.78
8229Y,,185.47
35538,,9590.74
12720,,193.86
44644,,255.48
6377S,,134.24
5744L,,1592.98
15765,,103.59
11843,,438.32
98963,,7334.41
6963K,,285.12
4770N,,181.07
85514,,99.68
29744,,5264.42
37324,,7130.94
7611U,,326.75
60211,,131.71
4344V,,415.18
1625G,,99.92
3959O,,166.95
6502X,,337.91
7109S,,8985.12
2546S,,4457.43
71657,,486.24
6658Z,,109.45
5559F,,71.58
80110,,7292.27
51605,,155.79
7654S,,110.12
6219R,,464.12
16734,,3924.95
66763,,9671.49
3136I,,4340.31
6878C,,195.59
5218K,,291.9
8142U,,386.51
69726,,297.61
22057,,241.3
52948,,634.18
2142L,,380.57
8908J,,268.23
20734,,468.4
4250F,,440.43
8212O,,196.73
4953G,,418.3
1153Q,,196.02
9716Z,,133.1
61277,,1621.28
95172,,453.01
17325,,484.91
18051,,493.4
6430U,,445.76
6867C,,457.12
29612,,8906.05
5167I,,387.02
34950,,209.41
5463J,,5969.4
7902W,,403.56
88631,,125.64
4361B,,375.19
4782C,,1863.76
2150M,,7718.82
9887P,,391.59
82629,,461.06
9623S,,4936.12
7634Y,,384.82
78160,,297.39
80910,,497.5
18467,,334.22
68711,,155.42
89553,,353.74
60246,,280.1
19025,,331.04
7877L,,460.59
8603J,,5136.11
95887,,199.47
7974S,,636.83
4429A,,205.65
2587O,,4040.34
85561,,123.78
5884Z,,1768.47
5229Q,,374.92
4296U,,451.97
3753F,,234.6
93039,,371.64
1675L,,95.83
2198Y,,8383.68
70543,,454.43
8735A,,79.08
3178W,,231.78
1161D,,256.03
66137,,400.14
3881Q,,447.23
2101S,,483.7
7392I,,8068.29
3324M,,142.51
5515X,,482.52
56253,,389.02
23318,,441.65
3224J,,367.88
4273X,,79.51
63504,,4456.04
74953,,93.89
9034V,,6606.19
7072P,,79.35
8239Y,,9482.35
4361O,,294.62
30915,,128.52
99849,,4314.34
14338,,342.31
3741R,,439.63
94201,,9889.94
31398,,389.72
16923,,286.51
11983,,333.87
24449,,5430.12
20695,,442.33
7400H,,308.83
80905,,336.92
47288,,471.74
99613,,320.41
1038Z,,51.98
38414,,233.57
97977,,9746.6
2578X,,328.54
3457X,,148.43
73668,,371.22
3133B,,232.19
2966B,,9198.26
40884,,222.68
7170E,,369.72
5071F,,9791.19
94733,,248.32
6870P,,402.12
6990U,,113.53
38596,,156.97
2586L,,409.58
64684,,241.36
3746F,,305.26
25879,,9213.17
60380,,4014.78
1778Z,,1913.69
5835X,,186.38
9481V,,205.05
4099V,,97.94
48924,,8095.25
36997,,70.05
12664,,77.39
26545,,441.07
7730N,,314.06
7009E,,160.01
3249Y,,444.59
95890,,468.13
66274,,265.07
38183,,294.47
1097D,,450.75
5659Y,,52.06
4390U,,3379.42
7065V,,250.06
36186,,90.14
2384E,,246.58
24633,,357.63
3578M,,108.23
8942E,,138.95
83596,,5993.75
2026I,,8837.44
96047,,253.66
8666H,,205.96
17195,,194
89866,,298.55
5765W,,228.54
48700,,5766.38
24144,,215.38
1262D,,7906.72
73253,,406.79
1583L,,318.41
86052,,393.09
3690O,,327.29
4619O,,5977.56
7542D,,417.22
3399S,,4192.98
57901,,485.26
20338,,111.17
16039,,1038.78
31075,,1880.02
17129,,6037.72
76953,,351.49
99970,,495.67
1114H,,147.1
81725,,119.48
91749,,78.74
76273,,394.53
2209G,,433.68
30555,,193.94
90731,,4058.48
58301,,404.81
3132U,,7744.71
9082R,,334.52
14971,,396.59
24147,,4850.59
1311T,,54.84
67022,,1648.17
25522,,167.36
28539,,396.13
5493Q,,195.7
7298E,,131.87
2455D,,438.03
5473P,,159.45
6116T,,400.06
7760B,,168.77
48279,,159.72
4859U,,303.49
20813,,132.7
3706K,,92.98
9159B,,448.62
2545S,,1210.53
47917,,55.37
1924B,,9199.57
54528,,302.83
73382,,174.08
2702Q,,339.3
7466L,,220.74
11603,,476.7
29106,,405.74
24255,,161.61
44579,,499.16
81218,,174.85
1662P,,1241.78
91014,,113.34
6265W,,6216.72
6085N,,463.6
7083L,,182.56
47445,,106.46
1548P,,9093.45
24221,,289.92
57416,,479.66
5167T,,9278.69
55201,,328
3312I,,2623.1
8519L,,67.06
37715,,462.17
59432,,3433.01
40271,,411.55
9702I,,259.79
6013G,,176.72
9043Y,,459.03
4122E,,105.89
1770Y,,269.96
8936M,,7983.69
13395,,2154.23
14858,,123.04
2611K,,407.97
1227C,,85.32
40376,,6165.56
8388P,,6022.95
8228K,,167.96
58724,,4415.6
29950,,486.18
70866,,229.95
77394,,199.46
7506A,,4329.11
9892V,,335.17
63749,,6192.13
29418,,465.29
53441,,52.56
3128Y,,170.68
3607O,,56.39
40618,,1135.88
9120Z,,402.16
7032C,,70.04
42677,,3083.93
6188Z,,368.54
4941W,,245.99
6613I,,141.53
9773P,,303.21
6046Z,,269.24
5550Q,,9600.25
56513,,6186.68
50154,,1911.4
79751,,483.54
8718H,,301.63
62154,,487.38
75470,,8888.72
1615N,,495.23
43014,,77.76
37189,,250.82
44724,,250.91
6114U,,4272.23
9188Q,,6857.23
5170X,,245.07
60118,,3060.53
1305V,,419.29
4864W,,182.07
35536,,249.19
6858M,,143.79
5220M,,92.68
9819E,,161.31
5845D,,256.35
3380S,,323.88
74760,,309.61
33069,,107.88
2974H,,220.09
9179S,,115.4
7832M,,294.31
5367U,,388.73
5631O,,1462.95
3390A,,474.75
1005B,,130.14
6028D,,159.43
14808,,386.91
13810,,236.71
4358X,,8929.3
4712A,,139.29
62195,,424.46
69474,,452.55
3398O,,3093.93
53934,,268.14
5522Q,,467.82
5153G,,108.88
9374Q,,175.37
23563,,62.7
88488,,4044.52
1528T,,78.42
81897,,1119.47
2443K,,126.32
84091,,231.75
78999,,5336.05
3619R,,444.86
3668X,,99.47
74052,,98.53
27297,,9609.51
4369U,,94.62
21221,,446.65
7630T,,449.06
93454,,6053.75
3751E,,127.68
36484,,456.95
54547,,7990.38
84022,,198.2
68129,,188.17
7811U,,247.08
1240Q,,5978.46
2779K,,8551.25
13429,,436.61
3507L,,303.93
29371,,201.1
5933G,,418.68
27474,,84.56
6333Z,,132.72
17276,,116.81
24409,,406.6
31527,,431.39
1387M,,232.02
9793I,,164.4
57472,,7240.5
50715,,5085.73
28037,,354.27
6905Z,,150.67
72292,,175.48
9884K,,108.38
9523B,,318.13
2784S,,314.72
8095I,,453.91
2821B,,282.68
86185,,295.17
36399,,159.85
4540M,,1883.01
3288O,,222.99
9536M,,7127.44
4136M,,86.83
7761B,,104.49
95822,,497.34
1518R,,157.06
1095C,,156.73
19762,,2230.5
6492T,,429.33
24726,,404.28
51882,,316.07
99135,,141.21
59163,,1155.06
3195C,,462.33
1822M,,125.91
44772,,129.06
60707,,298.7
31662,,475.55
61660,,304.4
6764R,,2406.62
71946,,7307.61
53135,,324.97
65016,,175.1
2970X,,82.98
6303S,,266.87
1263X,,332.36
6952S,,1174.93
9443W,,132.54
3827N,,5897.88
7809H,,296.17
91452,,170.79
81340,,386.82
4747K,,118.65
3768I,,202.19
34700,,314.24
29748,,406.24
7521X,,89.79
1479B,,259.43
23591,,173
85531,,462.82
19557,,2063.01
14242,,411.7
37330,,72.79
7635C,,1760.07
5920N,,312.17
19986,,312.7
6137S,,83.31
94279,,365.03
54885,,5233.38
17385,,91.62
8032Y,,397.3
5802L,,433.46
10265,,74.33
27978,,8099.48
8475M,,315.31
3393E,,290.43
90852,,79.97
2325S,,328.57
80945,,196.91
8105N,,498.99
13311,,191.12
14244,,288.44
9590N,,445.22
9015N,,485.27
5910M,,8153.54
76939,,297.63
2777C,,431.74
3415O,,161.63
85596,,358.18
7431C,,176.43
3242T,,1536.03
9475K,,438.6
1820Q,,438.81
5124R,,351.07
92084,,206.9
70821,,438.38
9858B,,6244.42
7253Z,,3842.96
9830G,,89.4
6279A,,432.74
2296F,,725.67
9289S,,59.04
16572,,2462.74
97898,,209.59
6116I,,248.66
9606T,,3649.97
91748,,8956.76
13540,,377.46
64921,,398.14
85462,,1958.41
6955U,,7771.88
3334U,,412.43
70919,,329.16
38304,,157.2
39797,,84.65
7752K,,269.04
9855O,,339.3
63997,,109.26
56023,,3957.48
35983,,399.31
1307R,,138.68
2433Q,,162.6
95384,,266.37
17179,,225.02
9540E,,373.69
18212,,4561.75
19739,,104.23
89890,,432.37
8712J,,452.64
5229Y,,385.39
50773,,467.11
75501,,292.72
3292C,,308.5
5505G,,359.45
66100,,352.5
29555,,3130.06
8549J,,3280.82
30650,,133.03
50579,,109.99
7103L,,457.6
76515,,494.29
35605,,4677.39
8670F,,377.46
26980,,301.95
5755U,,216.67
85781,,5932.76
11356,,389.67
25670,,291.85
2067K,,882.41
6182S,,452.07
7556V,,124.71
85072,,5175.58
9949O,,51.36
35529,,134.78
8627C,,9764.21
4466Y,,371.74
9503K,,115.27
29136,,355.75
6385T,,4969.25
51909,,377.78
7837A,,1110.53
84813,,557.91
48669,,110.7
9843J,,252.53
79103,,243.61
4576P,,1212.14
3152K,,99.77
71535,,326.86
7523H,,5052.58
99822,,53.15
67963,,382.99
1143N,,245.14
74478,,57.52
33763,,458.17
5319O,,101.08
9487R,,327.36
72041,,6990.1
5409D,,216.83
79198,,3524.47
33606,,305.93
5251P,,442.79
78554,,107.06
95371,,624.95
9116T,,421.71
64441,,128.29
8818M,,169.82
62370,,382.87
6790F,,282.46
5312B,,6918.79
6100T,,314.97
6691E,,214.78
4727F,,2347.11
1482Z,,228.08
62406,,231.47
5204W,,417.62
89659,,200.69
2267B,,4036.2
5401K,,299.67
82280,,449.52
8901Q,,155.06
7248P,,6833.62
4684R,,79.29
5427H,,87.96
9616W,,365.5
63017,,404.93
2266E,,451.83
57534,,2075.06
56005,,372.32
2007E,,278.8
8833C,,438.99
62609,,465.65
7776B,,352.4
9753S,,105.93
7079U,,366.23
87649,,374
8035U,,165.33
45032,,151.69
5803H,,417.82
7577T,,257.2
3069D,,168.71
4585E,,276.46
1852N,,9855.8
16283,,140.83
38273,,87.6
6102C,,326.74
25041,,188.23
44654,,480.77
3225L,,267.3
5535K,,9511.88
94672,,2771.76
96438,,292.74
1268H,,7178.87
2509U,,409.25
51626,,87.18
3024G,,117.6
5277F,,406.99
6842V,,9513.41
68495,,58.33
4309U,,373.89
68182,,163.12
3800V,,341.72
86749,,314.61
51590,,395.95
15904,,5503.7
58463,,80.22
6091Y,,9292.18
26777,,142.25
6255F,,93.71
37295,,258.52
9323T,,2244.14
78410,,2439.02
44954,,476.9
8632Q,,9129.71
48218,,2439.35
4868Z,,990.7
5126C,,9263.08
89705,,8706.09
8051Q,,386.5
1183D,,9364.15
45570,,104.15
48509,,315.9
1220K,,462.11
3047X,,2023.39
4563B,,450.05
5285A,,6672.71
2921L,,233.82
4933V,,1208.81
5931J,,381.06
17597,,414.35
85442,,163.28
3756V,,262.44
1240V,,449.55
76499,,9946.37
32416,,9029.68
4855Y,,6209.05
23879,,291.75
88525,,456.28
34623,,476.41
5329I,,7075.06
93882,,477.66
7746F,,3033.29
6369T,,1430.18
9596I,,9960.22
7936Z,,420.1
9375X,,207.11
10991,,7456.59
9252M,,186.62
54723,,737.3
8045C,,458.28
58228,,322.77
7086E,,314.62
72960,,492.67
2066T,,167.99
76589,,60.95
5636H,,483.74
12880,,683.97
8522H,,8971.11
3212C,,356.37
74315,,382.16
88603,,6043.01
8648U,,316.33
96212,,392.22
41526,,422.23
28210,,381.96
8676B,,284.13
7026Q,,149.2
12399,,355.11
1853W,,372.79
4389Q,,5914.47
7067K,,1442.18
97886,,165.39
5452T,,470.95
3476L,,8223.3
4844Z,,480.49
9345R,,229.83
6681G,,479.7
6134O,,411.33
2815J,,199.94
1592Z,,307.9
8842K,,457.13
6309N,,6409.47
5804E,,300.83
54563,,8110.24
2413H,,176.13
80241,,8364.46
56309,,1486.75
3369W,,5859.72
11416,,351.06
3336I,,1479.96
7368R,,2402.55
1939Z,,430.98
6547V,,392.61
8643H,,305.6
5018N,,8726.08
29789,,9360.3
82761,,334.5
4526K,,427.38
8055X,,453.35
17853,,120.16
2792K,,131.46
18348,,3519.62
26211,,415.5
57257,,88.08
93018,,314.7
7918J,,442.62
5539I,,269.91
75828,,132.66
19263,,497.14
2774P,,80.69
6025Z,,1158.4
2863Z,,491.74
27106,,324.8
41355,,9123.55
72758,,108.94
26632,,469.51
95835,,1999.34
5418A,,272.72
38116,,221.07
35340,,2953.32
3524D,,4688.98
6075H,,84.04
7150G,,604.68
52871,,289.13
1689S,,7962.66
14970,,125.38
5444Z,,221.22
77966,,157.27
65270,,418.75
53683,,165.85
2350D,,208.17
69313,,2423.78
1601V,,387.58
99044,,424.57
4540S,,488.39
5251K,,5777.53
4554X,,375.01
8768R,,292.84
6846F,,456.74
10710,,76.24
2729T,,3233.61
65579,,60.39
6654Z,,422.59
55630,,159.39
54285,,301.35
83797,,2033.55
61114,,398.87
2910F,,443.75
91568,,174.63
19637,,105.89
1702X,,454.14
84927,,488.74
12328,,3711.45
4215I,,87.73
93621,,328.68
73023,,146.5
1182X,,408.9
8155P,,389.5
9309U,,157.77
7377Y,,410.59
90143,,448.96
6451Z,,5444.84
41750,,394.15
5887W,,222.96
1422G,,6599.38
2849Y,,245.82
1716E,,451.11
4308G,,6843.12
8784U,,361.88
1713C,,247.15
8660W,,396.68
23313,,149.14
20482,,206
65930,,137.68
3438L,,405.32
8244L,,347.51
46496,,306.79
18396,,324.15
34694,,6985.39
48791,,7490.63
48736,,8457.05
1142N,,2064.37
11679,,277.55
6289E,,197.57
6379X,,179.19
95388,,224
5130R,,213.74
6671J,,429.43
4635A,,9401.7
10584,,71.89
40868,,232.55
64985,,449
4500C,,118.02
1678F,,5003.47
39542,,80.18
82315,,9896.28
4441D,,368.57
44580,,279.24
9837N,,7123.72
24898,,1347.7
1580J,,8822.13
48511,,207.09
86589,,441.34
40790,,435
96050,,1306.16
32935,,90.85
9080Q,,415.11
9539V,,203.76
8103W,,138.57
1516F,,7047.85
7874C,,358.25
98181,,307.69
17536,,124.62
15992,,115.98
5280E,,139.36
10210,,312.28
9350U,,145.68
5570Z,,384.61
6404L,,2391.97
85227,,476.16
5409T,,2687.96
22408,,382.15
8564A,,296.87
88436,,364.76
16057,,352.4
54310,,322.33
2183V,,88.21
67300,,249.45
7564F,,4823.85
70672,,5698.53
40800,,70.94
7835J,,62.13
8131L,,185.78
6701Q,,394.54
31461,,4266.88
6387P,,477.62
8997R,,82.15
33104,,4923.7
13808,,437.96
1674K,,170.18
77347,,461.89
5958W,,69.33
2897O,,127.12
6655W,,320.04
43530,,5583.74
9058J,,438.71
55306,,414.27
84654,,188.91
2825Y,,104.2
31026,,3961.87
3434P,,252.94
67500,,99.83
1557Z,,233.38
5880T,,156.79
13873,,457.43
5460C,,167.56
4633B,,338.82
3895E,,357.88
47852,,361.89
83023,,203.95
33148,,284.9
2104P,,6816.13
2875T,,430.92
6970I,,277.57
65745,,337.75
5411F,,231.22
41384,,4713.31
4897W,,397.38
73146,,467.25
24695,,7944.3
20678,,141.45
9464A,,366.9
94226,,441.42
1671K,,330.76
60261,,246.05
41947,,9072.87
6618X,,104.57
46834,,467.01
1893J,,83.33
8350N,,285.2
5103O,,120.44
9625D,,382.44
70646,,151.84
2192Q,,352.19
24634,,3982.34
71071,,418.54
5942L,,324.29
47951,,4319.71
3016T,,487.02
6823I,,304.81
73255,,496.51
9658D,,356
38524,,145.9
62031,,484.17
5591C,,5692.73
3974N,,2360.29
68699,,151.16
1354F,,4823.55
59887,,414.44
1709F,,102.41
60404,,418.32
2592M,,117.51
7685L,,3898.11
4158L,,328.97
92730,,259.69
8312H,,198.93
7255X,,115.05
7383N,,428.71
65081,,206.84
1986W,,9673.87
78817,,3909.98
8579U,,386.83
39096,,236.01
48313,,208.48
4677O,,494.03
7327S,,1175.84
83827,,252.58
55138,,189.15
87305,,9364.52
6495L,,165
5113O,,120.98
20852,,493.1
7078W,,1171.34
1451K,,409.85
28046,,386.21
7183R,,2643.4
24568,,8882.15
2086S,,166.35
82590,,5329.14
50303,,397.41
29684,,5657.8
3096H,,261.72
26742,,303.43
2815H,,101.86
83779,,232.48
7030Z,,199.92
9696D,,1994.76
43899,,449.31
89844,,116.85
7127M,,338.51
1964D,,450.31
7931H,,270.75
89762,,293.63
14283,,608.86
5282U,,4581.39
7257G,,423.4
1118O,,5463.57
1661S,,3796.05
38906,,5990.91
6730M,,329.05
41472,,82.3
4094A,,488.95
79110,,3104.73
78878,,98.86
19593,,316.92
70241,,8624.99
97738,,421.55
97680,,332.78
28521,,486.44
5729Y,,316.42
61789,,384.74
4082G,,368.85
18446,,332.38
3619X,,403.25
3797F,,84.17
4932U,,243
26372,,493.88
40822,,9519.07
92894,,68.98
34744,,2107.44
6098L,,235.77
6238X,,183.98
22323,,432.86
79141,,137.66
4403X,,261.32
9367Q,,157.04
8000H,,242.88
50247,,83.54
37158,,8488.79
55077,,471.84
13570,,901.64
12046,,155.21
8410H,,526.06
85730,,435.96
5776V,,157.98
56910,,474.13
6501X,,124.56
5964H,,9619.97
2706G,,176.25
5069V,,470.2
37264,,412.84
13291,,4713.09
6474Y,,223.31
92376,,3462.64
1510L,,96.15
5639N,,9188.16
6549X,,451.11
58025,,451.44
3304T,,394.74
84208,,352.84
6635L,,230.61
5076S,,388.9
26608,,267.22
72269,,345.66
6244K,,9302.15
9660A,,379.29
49642,,242.78
5030D,,483.75
21027,,218.52
2999I,,5166.01
43174,,459.65
1254G,,8145.72
7833H,,498.25
47409,,226.35
42235,,222.98
8778D,,298.22
40692,,3882.78
81779,,176.52
13649,,342.58
8894W,,151.35
76541,,418.66
69138,,474.18
3472Z,,174.54
86561,,5631.03
7471N,,356.61
3133F,,425.51
13295,,482.83
60824,,314.38
86993,,8257.62
6892T,,259.99
79519,,80.54
79637,,394.75
93050,,7752.41
2447Q,,301.6
1953L,,376.14
1010B,,149.54
4049L,,102.52
5919A,,7766.66
1759I,,141.58
25961,,1456.46
3753X,,8605.74
9383K,,363.53
33789,,2862.58
74423,,359.68
3598A,,491.29
78377,,307.04
95249,,272.18
4172W,,303.8
2558X,,6204.6
9946N,,7370.69
2931H,,489.89
7708U,,3095.56
1580K,,381.39
9027F,,251.91
8215M,,466.88
5149F,,195.62
5066S,,354.91
82666,,492.86
9897A,,50.12
43990,,339.72
67482,,464.17
30674,,424.93
25765,,370.83
34318,,137.07
13613,,144.92
54768,,139.86
5879D,,468.84
1820K,,199.21
64525,,490.72
15914,,195.13
80279,,115.73
29948,,311.2
9649U,,431.38
3649K,,7755.61
15314,,178.13
3136E,,116.19
8409K,,696.02
6718G,,373.12
4362C,,218.69
4858W,,4965.43
2564V,,183.98
6882G,,383.49
8671V,,89.74
8651K,,171.13
81499,,287.38
6941J,,288.64
7932Z,,477.16
18895,,6801.52
34884,,110.95
27868,,4859.1
5943L,,5256.96
8603D,,63.3
4925O,,447.1
68729,,375.99
46735,,130.54
51300,,339.27
94654,,451.93
1557U,,8421.97
99391,,226.17
4886F,,434.07
2638Z,,322.97
2150H,,4015.33
2951S,,1000.55
72060,,282.66
6700A,,444.96
7748Q,,8302.2
90991,,6134.62
33856,,415.01
31529,,4403.23
42222,,489.91
72028,,99.59
8741G,,369.42
97725,,392.42
66304,,158.72
3681P,,191.7
65361,,5239.28
68325,,401.33
87824,,444.04
4543Q,,491.17
25107,,280.39
47314,,309.94
54303,,196.41
89913,,494.42
24223,,385.99
4903W,,426.5
6797V,,283.61
2930U,,206.66
7875M,,190.9
7732Z,,232.63
8589J,,182.57
31762,,4262.09
63779,,468.01
38521,,9961.91
8825V,,135.32
92690,,303.71
23706,,53.97
88172,,62.11
9446C,,398.6
8704S,,456.27
1097M,,155.84
34829,,7452.13
25320,,418.03
1445Y,,267.25
4393K,,53.18
29438,,202.93
20208,,286.79
1555W,,373.03
1170R,,8786.86
8731Z,,9120.06
8533C,,184.22
5573K,,227.74
7069L,,375.93
96682,,373.8
8712D,,378.5
3411B,,425.23
6284S,,174.76
8430T,,149.91
82152,,387.44
2855O,,133.96
8410O,,394.1
6446I,,426.28
7625D,,385.27
7750H,,419.79
43156,,377.45
9255I,,219.55
81036,,89.65
86234,,4248.17
4659Z,,57.69
1388T,,375.18
1247W,,286.26
9892S,,75.67
6453P,,336.31
6299E,,4734.52
1256Z,,7120.26
35407,,235.23
1666N,,7541.26
84719,,121.68
35549,,291.06
1395X,,458.66
93860,,77.9
5740V,,388.13
79384,,499.32
21681,,455.88
6748G,,205.53
54909,,358.58
6327E,,402.78
8754M,,153.12
6010M,,400.12
69356,,173.66
61189,,5710.83
4095R,,438.06
14681,,350.1
19526,,286.64
9812I,,5408.27
44620,,290.85
8885D,,61.78
2892D,,390.89
11916,,399.58
8769K,,434.21
5928W,,475.98
36301,,324.69
4321R,,353.24
22750,,418.7
7485C,,241.02
89907,,217.53
52443,,115.05
92157,,381.86
5428W,,6484.52
5269H,,147.81
30669,,1516.93
8885A,,377.66
22199,,323.8
7754D,,3027.76
6171V,,421.78
4101D,,726.2
43440,,272.26
71081,,253.38
7256U,,967.47
3333W,,274.06
65638,,207.85
6156G,,323.06
21559,,86.42
4686M,,115.86
79703,,373.55
62829,,244.23
2684U,,144.24
6645V,,281.08
47420,,5541.53
98626,,285.66
88874,,59.29
73700,,284.22
70950,,240.73
24252,,484.39
2525E,,482.3
71088,,424.3
8347F,,485.85
7736P,,272.82
8030H,,4749.39
51168,,3502.93
59303,,337.84
53531,,326.36
7829J,,6692.97
14918,,258.23
6642J,,396.86
63820,,5301.3
26952,,392.37
6388O,,591.69
7180B,,440.6
17150,,91.59
14610,,429.25
45076,,5866.71
8075H,,162.8
99274,,265.8
1560Z,,349.38
48324,,395.04
22277,,6023.08
4179Z,,78.06
13882,,146.61
4460Y,,7602.7
5973N,,418.86
5701D,,493.2
87819,,165.44
8342Y,,296.25
4459Z,,293.62
4365X,,6547.84
9185V,,445.42
24951,,56.31
18469,,446.28
49627,,180.31
82080,,9527.01
20459,,327.66
2408I,,282.22
1070L,,179.45
2189L,,206.17
3321L,,2388.33
23833,,52.38
12224,,79.1
3170K,,226.19
32160,,54.92
6899W,,6658.45
6409V,,124.63
7560W,,430.13
8252E,,363.05
7425W,,296.03
8876S,,453.96
1731E,,331.9
2299E,,138.79
35354,,207.54
4106M,,196.92
2521C,,429.26
6429U,,268.34
17005,,387.89
99483,,233.72
8203F,,196.74
9786U,,145.47
20882,,300.92
27163,,354.53
5748P,,496.48
36322,,157.57
95153,,5233.43
16505,,429.41
1227R,,6371.84
27962,,2184.06
3082N,,6872.21
7138N,,2994.79
4749G,,437.87
88961,,122.95
6593S,,4272.91
1451R,,107.38
3837P,,498.26
3048H,,210.85
55862,,328.96
6230R,,5370.48
26227,,392
7622R,,5931.2
2916A,,469.7
87221,,4473.8
20067,,5319.24
4896U,,103.35
53104,,388.84
90833,,99.53
29380,,258.63
5864X,,9459.53
32480,,454.49
9150X,,312.36
2465E,,114.68
2139H,,1703.14
8766L,,4557.63
98090,,434.69
31702,,311.67
9697K,,6468.2
7563U,,92.26
23513,,113
7982Q,,4352.78
5632D,,5866.42
25611,,339.98
8939W,,201.25
6460P,,173.41
46515,,203.54
7353S,,332.93
1025O,,2434.68
98456,,296.59
8534Z,,330.35
11707,,2123.72
8787X,,290.6
9486U,,4707.8
5190P,,159.91
50245,,304.29
8737P,,7072.37
5114V,,351.56
91074,,8345.38
8583D,,189.81
61906,,328.2
4838K,,453.17
52196,,485.5
2803R,,281.79
30356,,488.91
64780,,275.83
9813N,,115.79
56402,,329.96
24422,,254.81
4561X,,283.44
7610L,,496.21
4030O,,7615.89
9332F,,480.8
7173F,,292.37
74960,,321.01
80039,,440.71
1154R,,318.21
37880,,1633.48
3743R,,176.27
8323W,,62.15
6758F,,58.19
65034,,192.74
8284Z,,99.14
49314,,663.71
7162E,,225.24
38569,,262.35
15613,,262.36
52748,,201.96
5496J,,254.85
40332,,267.2
84599,,370.98
5824R,,395.65
16233,,299.96
97847,,79.09
63617,,286.22
9685R,,150.58
43651,,424.55
5413V,,205.73
53586,,394.26
4574U,,376.62
5531U,,2502.81
67651,,173.95
8456X,,263.63
71762,,7096.46
3792P,,285.02
3500T,,151.44
57140,,104.09
8189H,,7368.44
73269,,126.05
29623,,1704.92
6961F,,205.72
59647,,7340.13
84421,,434.68
7687X,,254.93
17767,,306.01
9618F,,147.97
9706J,,6574.49
17236,,149.25
25140,,427.06
41927,,3823.91
71961,,7676.61
7955Q,,204.71
58689,,250.02
4114H,,193.63
2140P,,162.11
23694,,3359.83
11745,,116.41
7816I,,497.37
78808,,256.75
9120V,,110.78
46949,,395.14
4179A,,252.38
5390H,,134.23
1867F,,269.58
31935,,341
44101,,244.41
81932,,1048.96
72395,,198.13
6272E,,423.8
4697A,,151.5
77266,,248.18
7645Z,,221.05
79577,,490.74
44510,,272.86
5167D,,181.41
1990C,,290.02
63478,,259.12
42564,,6625
3263Z,,52.19
7547Q,,415.65
1745H,,7806.44
79713,,9795.41
64176,,353.32
7902E,,382.82
4611C,,512.37
55135,,378.04
67351,,373.5
25793,,8376.61
87499,,430.65
89560,,105.98
6248D,,437.7
8791C,,8219.24
63076,,132.51
3519O,,123.19
5729G,,352.11
6378C,,130.61
95192,,468.96
70055,,441.07
73737,,420.7
5083H,,294.61
5373U,,336.68
20586,,350.27
9276U,,255.07
7544Y,,3316.27
80336,,156.47
2564F,,405.71
25272,,189.22
24622,,473.3
29961,,484.76
7854N,,334.83
66039,,305.83
5354M,,66.31
76171,,462.3
18626,,245.82
9437P,,3891.85
9757V,,406.77
1156E,,4279.09
2393V,,427.61
2588Z,,101.81
88848,,243
4454T,,5909.16
1916C,,437.23
80877,,116.47
7441H,,449.74
7175J,,358.9
92787,,146.24
1766E,,1284.97
2424O,,255.29
4977B,,352.85
7349M,,9846.74
7129L,,9640.12
2757F,,1093.73
35337,,251.11
2298C,,7823.98
6522K,,466.37
54432,,4977.35
99333,,4331.11
8346Q,,283.2
7432A,,273.6
89328,,97.33
8441Y,,272.74
9071E,,467.28
3974C,,51.3
72518,,312.32
3844N,,3724.57
7519Y,,173.07
1834G,,247.07
22696,,307.66
4869C,,3770.03
7393E,,145.77
86333,,89.36
15155,,398.24
9223E,,235.12
2939N,,180.92
74893,,4900.09
6378R,,118.5
8728V,,215.89
98409,,281.68
8778T,,304.58
30476,,56.03
8131P,,237.15
49979,,329.2
3739Y,,398.9
5642C,,334.05
2423Z,,75.17
9804D,,169.38
18091,,66.62
3309F,,433.12
26926,,61.12
47000,,423.65
77078,,371.54
7065X,,6646.92
1730G,,486.13
37185,,7399.54
1395E,,387.87
19811,,103.94
24233,,431.65
1978N,,1391.45
43648,,409.01
82768,,3535.74
60270,,229.42
8007K,,354.38
7246I,,129.2
2721X,,5796.12
8775R,,9796.77
58445,,327.23
82233,,294.37
3707L,,8861.73
6820Q,,347.1
3462U,,417.67
5396X,,361.56
7468R,,3036.84
7838Y,,109.68
7280R,,407.37
1062L,,4958.11
3376B,,208.24
32231,,208.37
79797,,190.58
8907G,,1199.26
42465,,3370.33
4709X,,191.97
3791O,,292.72
3731D,,8159.94
9881O,,314.32
35309,,377.3
37107,,220.9
45684,,376.81
6576A,,182.51
53799,,296.02
29129,,476.21
45150,,341.9
71477,,2640.75
55898,,7746.5
6252N,,419.37
4614L,,170.81
5515F,,294.31
5714Y,,494.18
1475V,,4204.39
8425F,,444.72
54965,,153.79
9173Z,,852.05
50545,,1311.97
29138,,6067.04
70955,,168.95
1681C,,461.14
4505S,,148.94
2334J,,215.84
19678,,8065.13
18058,,361.6
6516Y,,473.32
